                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74211,                 3.5362,                0.24014,                0.66044,                 1.0894,                0.94148,                0.99568,                0.99273,                0.77598,                0.47268,                    0.5,                0.49523,                0.21838,                0.57974,                 4.1226,                0.04831,                 2.0231,                 1.0661,             0.00074804,             0.00074804,             0.00074804
                     36,                0.70262,                 3.4341,                0.23484,                0.62338,                 1.0555,                0.95794,                      1,                0.98818,                0.81096,                0.51764,                   0.55,                0.50676,                0.25424,                0.60395,                 3.9545,                0.03978,                 1.8588,                 1.0816,             0.00073704,             0.00073704,             0.00073704
                     37,                0.71243,                 3.3619,                0.23001,                0.65347,                 1.0802,                0.94596,                0.98902,                0.98136,                0.79271,                 0.5201,                0.55059,                0.54609,                0.22837,                0.57852,                 3.9418,                 0.0301,                 2.0087,                 1.0519,             0.00072604,             0.00072604,             0.00072604
                     38,                0.67247,                 3.3824,                0.21916,                 0.6239,                 1.0459,                0.95585,                0.98218,                0.99273,                0.79933,                0.59795,                  0.575,                0.56943,                0.24957,                0.76152,                 3.8938,                0.02058,                 2.0128,                 1.2796,             0.00071504,             0.00071504,             0.00071504
                     39,                0.68415,                 3.3432,                0.22604,                0.63115,                 1.0634,                0.96611,                0.97208,                0.99273,                0.77767,                 0.5701,                    0.6,                0.54323,                0.23105,                0.77264,                 4.0265,                0.04489,                 2.6052,                 1.3036,             0.00070404,             0.00070404,             0.00070404
                     40,                0.67562,                 3.2947,                0.22888,                0.61483,                  1.057,                 0.9611,                 0.9682,                0.97909,                0.78084,                0.56965,                    0.6,                0.53355,                 0.2358,                0.57039,                 3.8541,                0.04629,                 2.0376,                 1.0878,             0.00069304,             0.00069304,             0.00069304
                     41,                0.68294,                 3.3472,                0.23308,                0.60779,                 1.0611,                0.95689,                0.96833,                0.98136,                0.78454,                0.46773,                    0.5,                0.48386,                 0.1803,                0.56453,                 4.3022,                0.03252,                 1.7655,                 1.0696,             0.00068204,             0.00068204,             0.00068204
                     42,                0.66962,                 3.5254,                 0.2324,                0.58347,                 1.0759,                0.91513,                0.96429,                 0.9804,                0.80664,                0.51506,                   0.55,                0.51648,                0.22287,                0.54838,                 4.0459,                0.03883,                 2.1532,                 1.0498,             0.00067104,             0.00067104,             0.00067104
                     43,                0.67791,                 3.2558,                0.23249,                0.60255,                 1.0546,                0.95875,                0.95734,                0.98818,                0.79508,                0.46981,                    0.5,                0.49068,                0.23485,                0.63796,                  4.154,                0.02347,                 2.1493,                 1.0816,             0.00066005,             0.00066005,             0.00066005
                     44,                0.66058,                 3.0612,                0.21898,                0.60396,                 1.0516,                 0.9374,                0.96361,                0.98153,                0.79554,                0.57465,                0.59799,                0.54241,                0.24956,                 0.6734,                 3.9892,                0.01781,                 2.5454,                 1.2858,             0.00064905,             0.00064905,             0.00064905
                     45,                0.64412,                 3.3851,                0.23382,                0.58518,                 1.0661,                0.94135,                0.96596,                0.98136,                 0.8038,                 0.6173,                   0.65,                0.62492,                0.22525,                0.63083,                 4.0168,                0.03352,                 1.9318,                 1.1164,             0.00063805,             0.00063805,             0.00063805
                     46,                0.65059,                 3.3767,                 0.2162,                0.57443,                 1.0541,                0.91765,                0.99773,                0.98381,                0.79786,                0.56775,                    0.6,                0.54323,                0.21683,                0.74043,                 4.2563,                0.02087,                 1.9678,                 1.1762,             0.00062705,             0.00062705,             0.00062705
                     47,                0.66423,                 3.1965,                0.21419,                0.62745,                 1.0689,                0.95648,                0.96755,                0.98591,                0.79695,                0.56159,                0.64718,                0.56592,                0.24221,                0.70184,                 4.1288,                0.02237,                 1.9725,                  1.224,             0.00061605,             0.00061605,             0.00061605
                     48,                0.65517,                 3.2261,                0.20963,                0.57535,                 1.0596,                 0.9596,                 0.9518,                0.97768,                0.80751,                0.52048,                   0.55,                0.54224,                0.26168,                0.65118,                 3.9124,                0.02858,                 1.8962,                   1.24,             0.00060505,             0.00060505,             0.00060505
                     49,                0.65905,                 3.0396,                0.21015,                0.57928,                 1.0413,                0.95932,                0.96429,                0.98381,                0.81257,                0.46929,                    0.5,                0.49537,                0.24828,                 0.5661,                 4.2158,                0.04124,                 2.0055,                 1.0812,             0.00059405,             0.00059405,             0.00059405
                     50,                0.64162,                 3.2732,                0.23292,                0.55521,                 1.0545,                 0.9675,                0.97255,                0.98818,                0.81951,                0.52155,                   0.55,                 0.5325,                0.27311,                0.73124,                  3.908,                0.02238,                 1.6493,                 1.2244,             0.00058305,             0.00058305,             0.00058305
                     51,                0.65449,                 3.2323,                 0.2192,                0.57444,                 1.0528,                0.93288,                0.96429,                0.98835,                0.82005,                0.47105,                    0.5,                0.49811,                0.23963,                0.57178,                    4.2,                0.02567,                 2.3085,                 1.0702,             0.00057205,             0.00057205,             0.00057205
                     52,                0.63447,                 3.1307,                 0.2167,                0.55713,                 1.0442,                0.95198,                0.96429,                0.98608,                0.81158,                0.51768,                   0.55,                0.53434,                0.26612,                0.70584,                 4.0105,                 0.0318,                 2.5629,                  1.163,             0.00056105,             0.00056105,             0.00056105
                     53,                0.62069,                 3.1367,                0.20996,                0.53411,                 1.0368,                0.93916,                0.96429,                0.98381,                0.80871,                0.56601,                    0.6,                0.59968,                0.27394,                0.72495,                 3.8245,                0.03578,                 2.2392,                 1.1349,             0.00055006,             0.00055006,             0.00055006
                     54,                0.64034,                 3.0898,                0.21435,                0.54764,                 1.0403,                0.95537,                0.96429,                0.98153,                0.78417,                0.51829,                   0.55,                 0.5366,                0.23406,                0.69142,                 4.2804,                 0.0327,                 2.4305,                 1.1025,             0.00053906,             0.00053906,             0.00053906
                     55,                0.62478,                 3.1508,                0.21841,                 0.5659,                  1.038,                0.95934,                      1,                0.98364,                0.80766,                  0.471,                    0.5,                0.50089,                0.23449,                0.65065,                 4.1365,                0.02929,                 1.7228,                 1.1431,             0.00052806,             0.00052806,             0.00052806
